,obs_mean,obs_summer_mean,obs_warmest_mean,obs_coldest_mean,obs_ice_duration,obs_cloud_mean,obs_cloud_summer_mean,obs_cloud_warmest_mean,obs_cloud_coldest_mean
300010987,1.854508801299168,5.8131185789615305,9.357240330959327,-0.00034179687497720013,261.46666666666664,1.740028464979042,6.299616080433803,10.093460056125735,-0.00034179687497720013
300011025,1.9606181983393316,6.091942467436146,9.885921371624057,-0.00034179687497720013,262.0,1.7474754843028015,6.140814095267136,10.25202367924008,-0.00034179687497720013
300012060,5.187331339311703,14.36422135588054,16.389677984312893,-0.00034179687497720013,188.8,7.10679879310806,14.858808413441503,16.977690855400233,-0.00034179687497720013
300012639,5.08858046637566,15.340116434051241,17.58028883515865,-0.00034179687497720013,207.53333333333333,7.072773363833609,16.648512282452756,18.944599451907244,-0.00034179687497720013
300012969,6.038316647324874,15.661397173784804,18.055446313017182,-0.00034179687497720013,158.66666666666666,9.350508592826195,16.756762517988708,18.819301261132406,-0.00034179687497720013
300013283,6.559707880423404,17.83525963751017,19.649924647058945,-0.00034179687497720013,187.73333333333332,8.157574866855235,18.86640446871179,20.257942395632362,-0.00034179687497720013
300014063,6.044045477967329,13.197640409713701,17.27857770962488,-0.000341406393883197,152.33333333333334,7.163877806834501,13.074170947361267,17.348198463623046,-0.00034179687497720013
300010918,1.6161780348789918,5.169242213598855,8.61881122095028,-0.00034179687497720013,267.53333333333336,1.569352866211794,5.892851846420627,9.608042415120002,-0.00034179687497720013
300012760,5.071159854639919,15.603735046110316,17.768117391023466,-0.00034179687497720013,210.26666666666668,6.829866286219704,17.004736046285643,18.989492644564105,-0.00034179687497720013
300001091,3.7655225959755323,12.381602449923923,15.764180296529885,-0.00034179687497720013,236.6,5.192541314549499,13.299939591695923,16.05782517803293,-0.00034179687497720013
300001118,5.314154402734092,14.16502339874491,16.371150680596706,-0.00034179687497720013,174.73333333333332,7.33550948368386,14.66417242551825,16.821665508884358,-0.00034179687497720013
300011357,2.4146082667558537,8.152659505116214,12.8682860193287,-0.00034179687497720013,265.8,2.686785382381806,8.371171798278334,13.537460689081337,-0.00034179687497720013
