,a2w_full,a2w_cloud,lstm_full,lstm_cloud,obs_full,obs_cloud,lake_id
25%,8.120930192773114,8.67327412662542,7.383956,7.893957,7.579229609171648,10.02653846740725,1273
50%,10.660897463277172,11.03009514511708,10.4516535,10.888781,10.589609400431357,11.83239580790206,1273
75%,12.45508689838342,12.621211991724072,12.015805,11.979416,12.099784469604517,12.530738131205254,1273
95%,13.363922940718808,13.83243622774472,12.726655,12.681351,12.971484120686853,13.152467282613122,1273
5%,10.234310181881892,10.563775231155812,9.620238,10.015532,9.60717608133956,9.707869720459007,2907
25%,11.52721371993057,11.571834885623232,10.693532,11.402346,10.522183990478538,12.058704630533896,2907
50%,13.039709917153882,13.021929995860935,12.573043,13.129762,12.864611562093105,13.840825017293298,2907
75%,14.029165832144978,14.02709221018324,14.121214,14.202333,14.071316019694052,14.359023030598962,2907
95%,15.24246920334132,15.026749397018666,14.625186,14.621723,14.78596967061361,14.98119010925295,2907
5%,5.927730123687728,5.941223316807222,5.940939,6.1627574,6.236156253238448,6.411581419820388,3196
25%,8.68565678199506,8.761258896871922,9.38747,9.333582,9.340644232653744,9.160588815452556,3196
50%,13.500311206867911,13.476023089745244,13.599916,13.803196,13.59276839795166,12.980445134781007,3196
75%,18.88229513196097,18.87405778011109,18.882286,19.140148,19.154608935979468,18.914473118046516,3196
95%,21.635417759988567,21.83144052421542,21.702015,21.657495,22.02978394190751,21.846989454031526,3196
5%,0.0,0.0375383356443959,0.58246136,0.58034134,0.0865372975667355,0.08234812418623955,2129
25%,3.861850594928298,3.9984090676918713,3.640871,3.4546618,3.93901151021322,2.672862784067803,2129
50%,11.397853437021077,11.500547478984137,12.014008,12.293197,11.560616429646814,8.289602851867699,2129
75%,19.84444503682423,19.97834159894797,19.838634,19.96408,19.62797635396322,16.621839777628608,2129
95%,24.35778648973089,24.533501010580892,23.999306,23.366514,24.579478200276696,22.866622066497825,2129
5%,0.0,0.0,-0.21148276,-0.3097391,-0.0003417968749772,-0.0003417968749772,594
25%,0.0,0.0,0.008315563,-0.023782253,-0.0003417968749772,-0.0003417968749772,594
50%,0.0,0.0,0.15303779,0.16755605,0.0036064147949446,-0.0003417968749772,594
75%,6.703778954383788,5.99222453594417,5.780937,6.077072,5.809171930948935,5.467639541625971,594
95%,12.058523640530275,12.139191794002436,12.103628,12.280334,12.461181894938193,12.198848025004086,594
5%,0.0,0.0,-0.18038845,-0.12893343,-0.0003417968749772,-0.0003417968749772,702
25%,0.0,0.0,0.19750881,0.36196232,0.0433587392171261,-0.0003417968749772,702
50%,5.44881749380544,5.726177223570336,5.8560934,5.8380795,5.591922378540062,3.5711481730143646,702
75%,15.534926920421585,15.955384099800636,15.618211,16.02031,15.502851740519247,14.020417626698832,702
95%,19.130564119213837,19.969128275913736,20.192858,19.8307,20.64087575276693,20.39707606633507,702
5%,0.0,0.0,1.140665,1.1715245,1.2840782165527571,1.2767543474833558,893
25%,2.039335202466033,2.2705116518783943,2.6957102,2.9721136,2.8946027119954465,2.80220772425335,893
50%,7.847323663309929,7.939613056353988,7.804365,7.846055,7.83097928365072,6.892148907979333,893
75%,15.094807088660552,14.99439858771376,15.717178,15.8116,15.725413894653345,13.946483707427987,893
95%,18.409011577459815,18.155216637999068,19.303207,18.75722,19.82013028462728,19.250560061136916,893
5%,0.0,0.1016841620803442,0.86391926,0.68430424,0.6423088073730696,0.5236927032471045,1115
25%,2.5233995901311355,2.599928955090133,2.8248682,2.8854527,3.0427096048991302,2.5465312957764468,1115
50%,9.976710917238128,9.934685357660188,9.612539,9.639473,9.491728719075525,7.961172993977868,1115
75%,17.290970760097377,17.2264141281591,17.330746,17.69136,17.28911616007491,15.628361638387048,1115
95%,21.122878723020403,21.069259762233184,21.78276,21.082485,22.17354164123532,21.170562235514364,1115
5%,0.6513700180899517,0.6613892981084729,0.5344868,0.49057674,0.3984816233317474,0.30982627868654616,1355
25%,2.021541320692947,2.0601364569621303,2.3748221,2.2958832,2.3385260264079197,1.6259106953939124,1355
50%,6.458442650306228,6.451969203007853,6.347801,6.2745304,6.058983103434287,4.8133165995280365,1355
75%,10.516639436520888,10.40542979267804,10.721478,10.77062,10.652995681762718,9.018848355611198,1355
95%,12.912710388739685,12.86993918369132,13.396938,13.07143,13.339775339762411,12.5353750864665,1355
5%,0.0,0.0,0.14077663,0.11549854,0.0044920603434661,-0.0003417968749772,1505
25%,1.211173257560581,0.995691585048323,1.5081506,1.6292887,1.6580380757649775,1.135753568013584,1505
50%,7.858572207803975,7.909369076849308,7.8453426,7.838568,8.054064051310263,5.989515876770042,1505
75%,15.775701325028468,15.6215643879687,15.904836,15.685225,15.535509363810265,13.064272658030234,1505
95%,20.09766016720772,19.55742621240804,20.040403,20.01961,19.98519350687667,19.515579605102563,1505
5%,9.669464259357074,9.78485978233066,9.757631,9.836663,9.664941406250025,9.899487304687504,2092
25%,12.679390843183958,12.606151748158872,12.916391,12.893647,12.799747721354208,12.907373046875023,2092
50%,16.47883280106107,16.46382599542337,16.479685,16.617367,16.330061848958337,16.32635904947921,2092
75%,20.903373224317534,20.87576187462752,20.793797,20.974815,20.64414876302084,20.84540201822918,2092
95%,23.21509842837437,23.10497919551535,23.499556,23.601719,23.43573404947921,23.52970784505212,2092
5%,15.790324489541844,15.854610302421476,15.832232,15.802963,15.806194698556736,16.126812932586375,618
25%,17.211849571756606,17.265415330841034,16.947292,16.925018,17.292087017654467,18.226769603060234,618
50%,19.850643891049668,19.881638417406208,19.917187,19.98678,20.22629269353655,21.219416538523603,618
75%,22.667799101440057,22.734012187512203,22.303556,22.480145,22.574490665992585,23.117298822111312,618
95%,24.125458488580826,24.26464096037837,23.83482,23.911203,24.481998889906837,24.662559667595445,618
5%,4.506166332479229,4.409733742037513,4.509384,4.4907055,4.478341093455867,4.477283773777264,1204
25%,8.962510546871819,9.168300089560262,9.541519,9.493117,9.421660561255123,9.322153669443423,1204
50%,15.285796257304996,15.396109320475947,15.211597,15.20683,15.07602253862251,14.909838727202043,1204
75%,22.22838715044845,22.2493745027756,22.145992,22.236458,22.11115354228201,22.257310110506467,1204
95%,26.493423145522005,26.768498649997102,26.563416,26.53933,26.781638174836417,26.792132060855394,1204
5%,16.37289612427511,16.03897937782393,16.638756,16.581121,16.595612462361657,16.71160767873132,1555
25%,19.650222678619063,20.071415961971407,19.630766,19.553442,19.190070724487327,21.203561083475762,1555
50%,23.92476990235733,24.60432141174734,24.652443,24.516283,24.43133633931484,25.65456097920736,1555
75%,26.348957691631828,26.490846653330937,26.482471,26.451496,26.433274841308616,26.680898920695,1555
95%,27.597125966912703,27.949430561800952,27.316898,27.143112,27.624967829386435,27.68411521911625,1555
5%,19.83559004052062,19.979939732331687,19.788128,19.765312,19.46966451009115,19.854237365722682,1853
25%,23.28337316025968,23.22546525612717,22.719995,22.901672,22.39688390096029,23.42183901468917,1853
50%,26.82756014457464,26.81365688726511,26.332458,27.104898,26.224526977539085,26.93781305948892,1853
75%,28.42076769137089,28.45766044954834,28.187866,28.267134,27.941079711914085,28.170100148518884,1853
95%,30.1077696769516,30.0186277315003,29.19502,28.923447,29.502008056640648,29.62190602620443,1853
5%,0.0,0.0,-0.12070608,-0.12330866,-0.0003417968749772,-0.0003417968749772,2425
25%,0.0,0.0,0.7120385,0.6567898,0.316258366902673,0.1823545455932844,2425
50%,6.631383727529647,6.684994103445181,6.841861,6.919985,7.028035100301111,5.397312418619833,2425
75%,15.517888558396477,15.389739878175416,15.59901,15.944896,15.230389531453454,12.400937016805017,2425
95%,20.710034630058384,20.49276292465086,20.707703,20.231922,20.763923899332724,19.85891666412356,2425
5%,26.49551213363725,26.754210223553457,27.17256,27.167208,27.070792770385765,27.165083058675137,2550
25%,27.501782512225898,27.66437397538876,27.609663,27.70188,27.59057197570803,27.667320823669456,2550
50%,28.234938699038125,28.280160809921657,27.924297,28.0563,27.924896494547568,27.982034301757835,2550
75%,29.15040323567579,29.154187928116944,28.385044,28.405634,28.359527842203818,28.430573399861686,2550
95%,30.45878952388976,30.238861284123885,28.675821,28.708275,29.13899701436361,29.129668362935423,2550
5%,20.30521119639922,20.49596828910205,19.891819,19.967894,19.769579188029013,20.376303895314567,2559
